#,Fire Name,Year,Start Date,State,County/Area,Nearest Town,Nearest PCT Landmark,Approx. PCT Mile,Latitude,Longitude,Size (Acres),Size (sq mi),Cause / Notes,Structures Destroyed,Fatalities,Financial Damage (Reported),Data Confidence,Source,% of RI
149,August Complex,2020,2020-08-16,CA,Glenn/Tehama/Mendocino/Lake/Trinity/Shasta,Elk Creek / Stonyford,Mendocino NF core - far west of PCT; Shasta/Trinity edge closer,~670 and 720,39.9,-122.8,1032648,1505.170313,Lightning; 935 structures destroyed; 1 firefighter fatality; largest CA fire on record. Core of fire (Mendocino NF) is well west of PCT corridor; only the Trinity/Shasta county edge is potentially within 50 mi -- NEEDS DISTANCE VERIFICATION for PCT relevance,935,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,August Complex fire (Wikipedia),0.974220267
172,Line Fire,2024,2024-09-05,CA,San Bernardino,Big Bear / Lake Arrowhead,San Bernardino NF,~205-342,34.2,-117.15,43978,62.8125,"Evacuation orders for Highland and Running Springs, San Bernardino Mtns -- directly on PCT corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2024 California wildfires (Wikipedia),0.04065533981
50,Esperanza,2006,2006-10-26,CA,Riverside,Idyllwild / Anza,San Jacinto Mtns,~151-200,33.75,-116.75,40200,62.0875,54 structures destroyed; 5 firefighters + 1 civilian killed,54,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2006 California wildfires (Wikipedia),0.04018608414
109,Bald,2014,2014-07-30,CA,Shasta,Mt. Shasta City,Shasta-Trinity NF,~1500-1520,41,-122.2,39736,62.0546875,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2014 California wildfires (Wikipedia),0.04016484628
128,Miller Complex (2017),2017,2017-08-14,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,39715,60.5234375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2017 Incident Archive,0.03917374595
197,Pioneer Fire (2024),2024,2024-06-08,WA,Chelan,Stehekin,North Cascades / Lake Chelan,~2580-2600,48.3,-120.7,38735,59.93125,"Undetermined cause; threatened Stehekin, near PCT North Cascades segment",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Pioneer Fire (Wikipedia),0.03879045307
65,Buckweed,2007,2007-10-21,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,38356,59.521875,63 structures destroyed; caused by child with matches; NEEDS DISTANCE VERIFICATION,63,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2007 California wildfires (Wikipedia),0.03852548544
36,Williams,2002,2002-09-22,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,38094,59.3875,77 structures destroyed,77,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2002 California wildfires (Wikipedia),0.03843851133
144,Klamathon Fire,2018,2018-07-05,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,38008,58.196875,Reckless burning; 82 structures destroyed; 1 fatality,82,1,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Klamathon Fire (Wikipedia),0.03766788026
101,Forks Complex,2013,2013-07-31,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,37246,57.853125,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2013 California wildfires (Wikipedia),0.03744538835
77,Piute,2008,2008-06-28,CA,Kern,Kernville / Lake Isabella,Kern River / Kennedy Meadows,~650-702,35.75,-118.45,37026,57.11875,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2008 California wildfires (Wikipedia),0.03697006472
129,Pier Fire,2017,2017-08-29,CA,Tulare,Three Rivers / Kernville,Sequoia NF / Kern River,~766-800,36.1,-118.55,36556,57.0359375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2017 Incident Archive,0.0369164644
117,Fork Complex,2015,2015-07-30,CA,Trinity,Weaverville,Shasta-Trinity NF - western part,"N/A (bordering, likely west of corridor)",40.85,-123.1,36503,56.953125,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,CAL FIRE 2015 Incident Archive,0.03686286408
142,Donnell Fire,2018,2018-08-01,CA,Tuolumne,Dardanelle / Sonora Pass,Stanislaus NF / Hwy 108,~1017,38.35,-119.95,36450,56.678125,Unattended illegal campfire; 135 structures destroyed; closed PCT and Sonora Pass Hwy 108 corridor directly,135,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Donnell Fire (Wikipedia),0.03668487055
4,Blue Cut Fire,2016,2016-08-16,CA,Southern California,Cajon Pass / Wrightwood,Cajon Pass (PCT crosses directly),~mi 342,34.268,-117.457,36274,56.678125,Under investigation / undetermined,318,0,,Structures = 105 homes + 213 outbuildings.,See Source #4,0.03668487055
58,Inyo Complex (2007),2007,2007-07-06,CA,Inyo,Independence / Big Pine,Inyo NF / Sierra crest,~766-880,36.85,-118.3,35176,53.503125,33 structures destroyed,33,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2007 California wildfires (Wikipedia),0.03462985437
205,Flat Fire (2023),2023,2023-07-15,OR,Curry,Brookings,"Kalmiopsis Wilderness - coastal, west of PCT corridor",1720,42.35,-124.05,34242,53.2671875,"Human-caused; near Agness, Rogue River-Siskiyou NF; NEEDS DISTANCE VERIFICATION -- coastal SW Oregon, likely west of 50mi PCT corridor",,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,Flat Fire 2023 (Wikipedia),0.03447714401
80,Telegraph (2008),2008,2008-07-25,CA,Mariposa,Mariposa,Yosemite south entrance vicinity,N/A (bordering),37.65,-119.85,34091,53.125,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2008 California wildfires (Wikipedia),0.03438511327
54,Canyon (2006),2006,2006-07-09,CA,Stanislaus,Sonora Pass vicinity,Stanislaus NF,~1017,38.1,-119.9,34000,52.9171875,11 structures destroyed; NEEDS DISTANCE VERIFICATION,11,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2006 California wildfires (Wikipedia),0.0342506068
122,Gap Fire (2016),2016,2016-08-27,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,33867,52.225,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2016 Incident Archive,0.033802589
150,Apple Fire,2020,2020-07-31,CA,Riverside,Idyllwild / Anza,San Jacinto Mtns,~151-200,33.75,-116.75,33424,51.603125,"Near Cherry Valley/Oak Glen, San Bernardino NF; cause not independently confirmed this session",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE Statewide Fire Summary Sept 6 2020 (goldrushcam.com),0.03340008091
169,SQF Lightning Complex (2024),2024,2024-07-13,CA,Tulare,Three Rivers / Kernville,Sequoia NF / Kern River,~766-800,36.1,-118.55,33026,50.775,Comprised Trout and Long fires; lightning,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2024 California wildfires (Wikipedia),0.03286407767
110,Beaver,2014,2014-07-30,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,32496,50.65,6 structures destroyed,6,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2014 California wildfires (Wikipedia),0.03278317152
111,Eiler,2014,2014-07-31,CA,Shasta,Mt. Shasta City,Shasta-Trinity NF,~1500-1520,41,-122.2,32416,48.9984375,21 structures destroyed,21,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2014 California wildfires (Wikipedia),0.03171419903
118,Lake Fire (2015),2015,2015-06-17,CA,San Bernardino,Big Bear / Lake Arrowhead,San Bernardino NF,~205-342,34.2,-117.15,31359,48.325,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2015 Incident Archive,0.03127831715
188,Middle Fork Complex,2021,2021-,OR,Lane,Oakridge,Willamette NF / Waldo Lake,~1930-1960,43.75,-122.15,30928,47.584375,"Willamette NF, directly on PCT corridor near Waldo Lake",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2021 Wildfire Summary,0.03079894822
51,Uncles Complex,2006,2006-07-23,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,30454,47.303125,1 structure destroyed,1,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2006 California wildfires (Wikipedia),0.03061690939
99,Powerhouse,2013,2013-05-30,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,30274,45.9625,58 structures destroyed,58,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2013 California wildfires (Wikipedia),0.02974919094
119,South Complex (2015),2015,2015-07-30,CA,Trinity,Weaverville,Shasta-Trinity NF - western part,"N/A (bordering, likely west of corridor)",40.85,-123.1,29416,45.840625,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,CAL FIRE 2015 Incident Archive,0.02967030744
89,Comanche Complex,2011,2011-09-10,CA,Kern,Kernville / Lake Isabella,Kern River / Kennedy Meadows,~650-702,35.75,-118.45,29338,45.815625,Originated as 4 separate fires,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2011 California wildfires (Wikipedia),0.02965412621
124,Cedar Fire (2016),2016,2016-08-16,CA,Kern,Kernville / Lake Isabella,Kern River / Kennedy Meadows,~650-702,35.75,-118.45,29322,43.903125,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2016 Incident Archive,0.02841626214
162,Fairview Fire,2022,2022-09-05,CA,Riverside,Idyllwild / Anza,San Jacinto Mtns,~151-200,33.75,-116.75,28098,43.8734375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2022 Incident Archive,0.02839704693
97,Reading,2012,2012-07-23,CA,Shasta,Mt. Shasta City,Shasta-Trinity NF,~1500-1520,41,-122.2,28079,43.65,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2012 California wildfires (Wikipedia),0.02825242718
75,Lakehead,2008,2008-06-21,CA,Shasta,Mt. Shasta City,Shasta-Trinity NF,~1500-1520,41,-122.2,27936,43.24375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2008 California wildfires (Wikipedia),0.0279894822
98,Ponderosa (2012),2012,2012-08-18,CA,Tehama,Red Bluff,Lassen NF vicinity,N/A (bordering),40.15,-122.1,27676,43.0171875,133 structures destroyed; NEEDS DISTANCE VERIFICATION,133,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2012 California wildfires (Wikipedia),0.02784283981
3,Mountain Fire (2013),2013,2013-07-15,CA,Southern California,Mountain Center / Idyllwild,San Jacinto segment,~mi 151-179,33.71,-116.72,27531,43.0171875,Electrical junction box malfunction (negligence),,0,25000000,"$25M is the federal lawsuit claim amount, not a confirmed total loss figure.",See Source #3,0.02784283981
130,Orleans Complex,2017,2017-07-26,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,27276,41.4609375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2017 Incident Archive,0.02683555825
159,French Fire (2021),2021,2021-08-18,CA,Kern,Kernville / Lake Isabella,Kern River / Kennedy Meadows,~650-702,35.75,-118.45,26535,41.2640625,"Human-caused, suspicious; 18 structures destroyed; 1 unrelated firefighter fatality",18,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,French Fire 2021 (Wikipedia),0.02670813107
160,Lava Fire,2021,2021-06-24,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,26409,39.3953125,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2021 Incident Archive,0.02549858414
90,Breckenridge Complex,2011,2011-09-10,CA,Kern,Kernville / Lake Isabella,Kern River / Kennedy Meadows,~650-702,35.75,-118.45,25213,39.0546875,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2011 California wildfires (Wikipedia),0.02527811489
196,Big Hollow Fire,2020,2020-09-,WA,Skamania,Stevenson,Gifford Pinchot NF,~2140-2160,45.85,-121.9,24995,38.896875,"Labor Day windstorm; Gifford Pinchot NF near Stevenson WA, PCT corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2020 Wildfire Summary,0.02517597087
189,Bull Complex,2021,2021-,OR,Clackamas/Hood River,Government Camp,Mt. Hood NF,~2090-2100,45.15,-121.75,24894,37.828125,"Mt. Hood NF, PCT corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2021 Wildfire Summary,0.0244842233
53,Millard Fire Assist,2006,2006-07-09,CA,Riverside,Idyllwild / Anza,San Jacinto Mtns,~151-200,33.75,-116.75,24210,37.6234375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2006 California wildfires (Wikipedia),0.02435173948
202,Milli Fire,2017,2017-08-11,OR,Deschutes,Sisters,Deschutes NF / Three Sisters Wilderness,~1990-2020,44.15,-121.55,24079,36.9578125,"Lightning; Deschutes NF near Sisters, Three Sisters Wilderness directly on PCT",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Milli Fire (Wikipedia),0.02392091424
93,Fort Complex,2012,2012-08-05,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,23653,36.759375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2012 California wildfires (Wikipedia),0.02379247573
179,Airport Fire (2024),2024,2024-09-09,CA,Orange/Riverside,Trabuco Canyon,Santa Ana Mtns - west of PCT corridor,N/A,33.65,-117.45,23526,36.6375,"Began in Trabuco Canyon; NEEDS DISTANCE VERIFICATION -- Santa Ana Mtns, likely >50mi from PCT",,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2024 California wildfires (Wikipedia),0.02371359223
165,Palisades Fire,2025,2025-01-07,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,23448,36.5734375,"Suspected fireworks/rekindle; 6,837 structures destroyed; 12 fatalities; NEEDS DISTANCE VERIFICATION -- Pacific Palisades/Malibu is coastal Santa Monica Mtns, likely >50mi from PCT's Angeles NF segment",6837,12,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,Los Angeles wildfires of 2025 (Britannica),0.02367212783
32,Copper,2002,2002-06-05,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,23407,36.53125,26 structures destroyed,26,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2002 California wildfires (Wikipedia),0.02364482201
204,Flat Fire (2025),2025,2025-08-21,OR,Deschutes,Sisters,Deschutes NF / Three Sisters Wilderness,~1990-2020,44.15,-121.55,23380,36.475,"Undetermined cause; near Sisters, directly on PCT/Three Sisters Wilderness corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Flat Fire 2025 (Wikipedia),0.02360841424
82,Humboldt (2008 Butte),2008,2008-06-11,CA,Butte,Paradise,Plumas NF vicinity,N/A (bordering),39.85,-121.4,23344,35.925,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2008 California wildfires (Wikipedia),0.02325242718
100,Aspen,2013,2013-07-22,CA,Fresno,Shaver Lake / Huntington Lake,Sierra NF,~870-906,37.1,-119.1,22992,35.784375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2013 California wildfires (Wikipedia),0.02316140777
57,Antelope Complex (2007),2007,2007-07-05,CA,Plumas,Quincy,Plumas NF,~1290-1330,39.95,-120.85,22902,35.6703125,2 structures destroyed,2,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2007 California wildfires (Wikipedia),0.02308758091
94,Vallecito Lightning Complex,2012,2012-08-13,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,22829,35.5375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2012 California wildfires (Wikipedia),0.02300161812
6,El Dorado Fire,2020,2020-09-05,CA,Southern California,Yucaipa / Oak Glen,San Gorgonio Wilderness segment,~mi 205-210,34.058,-116.989,22744,35.5375,"Pyrotechnic ""gender reveal"" device",10,1,42000000,Damage figure is a minimum reported estimate.,See Source #6,0.02300161812
104,American (2013),2013,2013-08-11,CA,Placer,Foresthill / Tahoe City,Tahoe NF,~1150-1170,39.15,-120.55,22407,34.134375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2013 California wildfires (Wikipedia),0.0220934466
131,Helena-Fork Fire,2017,2017-08-30,CA,Trinity,Weaverville,Shasta-Trinity NF - western part,"N/A (bordering, likely west of corridor)",40.85,-123.1,21846,33.3546875,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,CAL FIRE 2017 Incident Archive,0.0215887945
200,Rum Creek Fire,2022,2022-08-17,OR,Josephine,Rand / Galice,Rogue River-Siskiyou NF,~1730-1780,42.55,-123.55,21347,32.903125,"Lightning; 1 firefighter fatality; Rogue River-Siskiyou NF, southern Oregon PCT corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2022 Oregon wildfires (Wikipedia),0.02129652104
181,Butler Fire,2025,2025-08-,CA,Siskiyou/Humboldt,Forks of Salmon,Klamath NF / Salmon River,~1650-1680,41.35,-123.3,21058,32.5890625,Lightning-caused; evacuations for Forks of Salmon; NEEDS DISTANCE VERIFICATION for Humboldt portion,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2025 California wildfires (Wikipedia),0.02109324434
35,Curve,2002,2002-09-01,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,20857,32.0953125,73 structures destroyed,73,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2002 California wildfires (Wikipedia),0.02077366505
76,American River Complex,2008,2008-06-21,CA,Placer,Foresthill / Tahoe City,Tahoe NF,~1150-1170,39.15,-120.55,20541,32.03125,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2008 California wildfires (Wikipedia),0.02073220065
86,Lion,2011,2011-07-08,CA,Tulare,Three Rivers / Kernville,Sequoia NF / Kern River,~766-800,36.1,-118.55,20500,31.70625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2011 California wildfires (Wikipedia),0.02052184466
103,Silver (2013),2013,2013-08-07,CA,Riverside,Idyllwild / Anza,San Jacinto Mtns,~151-200,33.75,-116.75,20292,30.809375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2013 California wildfires (Wikipedia),0.01994134304
72,Cub Complex,2008,2008-06-21,CA,Lassen,Old Station,Lassen NF,~1360-1420,40.55,-121.1,19718,30.06875,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2008 California wildfires (Wikipedia),0.01946197411
163,Oak Fire (2022),2022,2022-07-22,CA,Mariposa,Mariposa,Yosemite south entrance vicinity,N/A (bordering),37.65,-119.85,19244,29.721875,180 structures destroyed; NEEDS DISTANCE VERIFICATION (near Yosemite south entrance),180,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,CAL FIRE 2022 Incident Archive,0.01923745955
180,Green Fire (2025),2025,2025-07-01,CA,Shasta,Mt. Shasta City,Shasta-Trinity NF,~1500-1520,41,-122.2,19022,29.53125,Lightning-caused; Shasta-Trinity NF,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2025 California wildfires (Wikipedia),0.01911407767
132,Lion Fire (2017),2017,2017-09-27,CA,Tulare,Three Rivers / Kernville,Sequoia NF / Kern River,~766-800,36.1,-118.55,18900,29.2265625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2017 Incident Archive,0.01891686893
30,Coyote,2003,,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,18705,29.090625,2 structures destroyed,2,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2003 California wildfires (Wikipedia),0.0188288835
133,R-4 Fire,2017,2017-08-30,CA,Lassen,Old Station,Lassen NF,~1360-1420,40.55,-121.1,18618,28.165625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2017 Incident Archive,0.01823017799
44,Crown Complex,2004,2004-07-20,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,18026,27.63125,7 structures destroyed,7,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2004 California wildfires (Wikipedia),0.01788430421
59,Elk Complex,2007,2007-07-10,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,17684,27.5,1 firefighter fatality,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2007 California wildfires (Wikipedia),0.01779935275
174,Boone Fire,2024,2024-09-03,CA,Fresno/Monterey,Coalinga vicinity,Diablo Range - far west of PCT,N/A,36.3,-120.6,17600,27.215625,"NEEDS DISTANCE VERIFICATION (Fresno portion near Sierra NF, Monterey portion far)",,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2024 California wildfires (Wikipedia),0.01761529126
43,Pine (2004),2004,2004-07-12,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,17418,27.0390625,"15 structures destroyed, 1 firefighter fatality",15,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2004 California wildfires (Wikipedia),0.01750101133
8,Lake Fire (2024),2024,2024-06-16,CA,Southern California,Whitewater / Big Bear (San Gorgonio Wilderness),San Gorgonio Wilderness segment,~mi 205-236,34.1,-116.8,17305,27.0390625,Under investigation,,0,,Closed PCT from Whitewater Preserve to Onyx Summit.,See Source #8,0.01750101133
45,Power,2004,2004-10-06,CA,Amador,Plymouth / Pioneer,Eldorado NF vicinity,~1084-1093,38.55,-120.4,16800,26.1890625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2004 California wildfires (Wikipedia),0.01695084951
27,Star,2001,,CA,El Dorado,South Lake Tahoe,Eldorado NF / Echo Summit,~1084-1093,38.83,-120.2,16761,26.0640625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2001 California wildfires (Wikipedia),0.01686994337
49,Horse (2006),2006,2006-07-23,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,16681,25.71875,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2006 California wildfires (Wikipedia),0.01664644013
42,Cerrito,2004,2004-05-03,CA,Riverside,Idyllwild / Anza,San Jacinto Mtns,~151-200,33.75,-116.75,16460,25.690625,26 structures destroyed,26,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2004 California wildfires (Wikipedia),0.01662823625
84,Bull,2010,2010-07-26,CA,Kern,Kernville / Lake Isabella,Kern River / Kennedy Meadows,~650-702,35.75,-118.45,16442,25.0484375,14 structures destroyed,14,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2010 California wildfires (Wikipedia),0.01621258091
134,Schaeffer Fire,2017,2017-06-24,CA,Tulare,Three Rivers / Kernville,Sequoia NF / Kern River,~766-800,36.1,-118.55,16031,24.4046875,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2017 Incident Archive,0.01579591424
135,Creek Fire (2017),2017,2017-12-04,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,15619,24.3171875,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2017 Incident Archive,0.01573927994
168,Post Fire,2024,2024-06-15,CA,Los Angeles/Ventura,Gorman,I-5 corridor / Tehachapi vicinity,~517-558,34.8,-118.85,15563,24.25,Began near Gorman along I-5,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2024 California wildfires (Wikipedia),0.01569579288
176,Shelly Fire,2024,2024-07-03,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,15520,23.665625,"8 firefighters injured; near Etna, Klamath NF PCT corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2024 California wildfires (Wikipedia),0.01531755663
69,Hells Half Complex,2008,2008-06-20,CA,Trinity,Weaverville,Shasta-Trinity NF - western part,"N/A (bordering, likely west of corridor)",40.85,-123.1,15146,23.053125,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2008 California wildfires (Wikipedia),0.0149211165
102,Salmon River Complex,2013,2013-07-31,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,14754,22.7890625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2013 California wildfires (Wikipedia),0.01475020227
88,Canyon (2011),2011,2011-09-04,CA,Kern,Kernville / Lake Isabella,Kern River / Kennedy Meadows,~650-702,35.75,-118.45,14585,22.65625,100 structures destroyed,100,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2011 California wildfires (Wikipedia),0.01466423948
24,Martis,2001,,CA,Nevada,Truckee,Tahoe NF / Donner Pass area,~1150-1170,39.3,-120.75,14500,22.5796875,Campfire,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2001 California wildfires (Wikipedia),0.01461468447
21,Bolt Creek Fire,2022,2022-09-09,WA,Washington,Skykomish (US Hwy 2 corridor),Stevens Pass segment,~mi 2450-2470,47.728,-121.346,14451,22.5796875,Human-caused (accidental),1,0,8700000,Original curated entry (see Source #21 in Sources tab),See Source #21,0.01461468447
106,Pulgas,2014,2014-05-15,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,14416,22.3125,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2014 California wildfires (Wikipedia),0.01444174757
28,Darby,2001,,CA,Calaveras,Angels Camp,Stanislaus NF vicinity,~1050-1070,38.3,-120.3,14280,22.0375,Undetermined,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2001 California wildfires (Wikipedia),0.01426375405
173,Coffee Pot Fire,2024,2024-08-03,CA,Tulare,Three Rivers / Kernville,Sequoia NF / Kern River,~766-800,36.1,-118.55,14104,22.03125,Burned in Sequoia National Park; lightning,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2024 California wildfires (Wikipedia),0.01425970874
87,Eagle (2011),2011,2011-07-21,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,14100,21.9359375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2011 California wildfires (Wikipedia),0.0141980178
61,Butler 2,2007,2007-09-14,CA,San Bernardino,Big Bear / Lake Arrowhead,San Bernardino NF,~205-342,34.2,-117.15,14039,21.9109375,3 structures destroyed,3,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2007 California wildfires (Wikipedia),0.01418183657
